"id";"name";"year";"rankscore"
0;"#28";2002;0.0
1;"#7 Train: An Immigrant Journey, The";2000;0.0
2;"$";1971;6.4
3;"$1,000 Reward";1913;0.0
4;"$1,000 Reward";1915;0.0
5;"$1,000 Reward";1923;0.0
6;"$1,000,000 Duck";1971;5.0
7;"$1,000,000 Reward, The";1920;0.0
8;"$10,000 Under a Pillow";1921;0.0
9;"$100,000";1915;0.0
10;"$100,000 Pyramid, The";2001;0.0
11;"$1000 a Touchdown";1939;6.7
12;"$20,000 Carat, The";1913;0.0
13;"$21 a Day Once a Month";1941;0.0
14;"$2500 Bride, The";1912;0.0
15;"$30";1999;7.5
16;"$30,000";1920;0.0
17;"$300 y tickets";2002;0.0
18;"$40,000";1996;9.6
19;"$5,000 Reward";1918;0.0
20;"$5,000,000 Counterfeiting Plot, The";1914;0.0
21;"$5.15/Hr.";2004;0.0
22;"$5.20 an Hour Dream, The";1980;0.0
23;"$50,000 Challenge, The";1989;0.0
24;"$50,000 Climax Show, The";1975;2.6
25;"$50,000 Jewel Theft, The";1915;0.0
26;"$50,000 Reward";1924;0.0
28;"$500 Reward, The";1911;0.0
29;"$500,000 Reward";1911;0.0
31;"$pent";2000;4.3
32;"$ucces Part One";1986;0.0
33;"$windle";2002;5.4
34;"& frres";2000;0.0
35;"''Bear'' Facts, The";1914;0.0
36;"'15'";2002;6.8
37;"'24-25' ne vozvrashchayetsya";1968;0.0
38;"'38";1987;6.7
39;"'42";1951;0.0
40;"'49, un souffle de colre";1996;0.0
41;"'49-'17";1917;5.8
42;"'60s Pop Rock Reunion";2004;0.0
43;"'60s, The";1999;0.0
44;"'68";1988;5.5
45;"'70s Celebration: The Beat Is Back, A";1993;0.0
46;"'70s: The Decade That Changed Television, The";2000;0.0
47;"'88 Dodge Aries";2002;0.0
48;"'93 jie tou ba wang";1993;0.0
49;"'94 du bi dao zhi qing";1994;5.7
50;"'?' Motorist, The";1906;6.8
51;"'A'";1965;7.1
52;"'A' gai waak";1983;7.2
53;"'A' gai waak juk jaap";1987;7.2
54;"'Abbot' and 'Cresceus' Race, The";1901;0.0
55;"'Akasaka no shimai' yori: yoru no wada";1960;0.0
56;"'Amphitrite', The";1897;0.0
57;"'Ang Galing galing mo, Babes'";2002;0.0
58;"'Arriet's Baby";1913;0.0
59;"'Arry and 'Arriet's Evening Out";1909;0.0
60;"'Arry on the Steamboat";1901;0.0
61;"'As se hizo' - Torremolinos 73";2003;0.0
62;"'Babicky dobjejte presne!'";1983;5.6
63;"'Bad Buck' of Santa Ynez";1915;0.0
64;"'Bats' Abound";1999;0.0
65;"'Belle de Varsovie, La'";1993;0.0
66;"'Betty Bee' (sopravvivere d'arte)";1999;0.0
67;"'Billy Elliot' Boy, The";2001;0.0
68;"'Borovo' Institut";1984;0.0
69;"'Breaker' Morant";1980;7.9
70;"'Brennus', Le";1897;0.0
71;"'Broadway Melody of 1940'";1940;7.1
72;"'Bullitt': Steve McQueen's Commitment to Reality";1968;6.6
73;"'burbs, The";1989;5.9
74;"'C' Word, The";1993;0.0
76;"'Cat and Mouse' at the Home";1983;0.0
77;"'Catch Me If You Can': Behind the Camera";2003;0.0
78;"'Columbia'";1899;0.0
79;"'Columbia' and 'Defender' Rounding Stake-Boat";1899;0.0
80;"'Columbia' and 'Shamrock II' Finishing Second Race";1901;0.0
81;"'Columbia' and 'Shamrock II': Jockeying and Starting";1901;0.0
82;"'Columbia' and 'Shamrock II': Start of Second Race";1901;0.0
83;"'Columbia' and 'Shamrock II': Starting in the Third Race";1901;0.0
84;"'Columbia' and 'Shamrock II': Turning the Outer Stake Boat";1901;0.0
85;"'Columbia' Close to the Wind";1899;0.0
86;"'Columbia' vs. 'Defender'";1899;0.0
87;"'Columbia' Winning the Cup";1899;3.6
88;"'Columbia' Winning the Cup (1901/I)";1901;0.0
89;"'Columbia' Winning the Cup (1901/II)";1901;0.0
90;"'Corsair', The";1899;0.0
91;"'Courageous', O";1932;0.0
93;"'Courier'";1900;0.0
94;"'Crocodile' Dundee II";1988;4.9
95;"'Cross the Mexican Line";1914;0.0
96;"'Den vide verden's billedbog nr. 1";1938;0.0
